Date,Location,Setlist
"June 23, 2024",Red Rocks Amphitheatre,"For What It’s Worth, Holden Oversoul, Action Man, Papa’s Home, We Walk Each Other Home, Junior, Vacation, Small Town, Little By Little, Flat Foot Flewzy, Don’t Be Denied, Space Wrangler, Blue Carousel, I Walk On Guilded Splinters, Machine, Barstools and Dreamers, Coconut, Saint Ex, Ride Me High, Blue Indian, Lawyers Guns And Money, Life as a Tree, Pigeons, Postcard"
"June 22, 2024",Red Rocks Amphitheatre,"Little Lilly, Blackout Blues, Better Off, B of D, Old Neighborhood, Makes Sense To Me, Tackle Box Hero, Ribs and Whiskey, The Take Out, There is a Time, Porch Song, Radio Child, Trashy, Pleas, Fishwater, Bust it Big, Fishwater, Mercy, Cosmic Confidante, Airplane, Climb To Safety, Honky Red, Keep Me In Your Heart, No Sugar Tonight / New Mother Nature"
"June 21, 2024",Red Rocks Amphitheatre,"Mr. Soul, Ain’t Life Grand, Up All Night, I’m Not Alone, Goodpeople, Dark Bar, Goodpeople, Thought Sausage, King Baby, Love Tractor, Red Hot Mama, Bear’s Gone Fishin’, Blight, Driving Song, Greta, You Got Yours, Tie Your Shoes, Drums, Party at Your Mama’s House, Driving Song, Down, Halloween Face, Rebirtha, One Arm Steve, Expiration Day"
"June 20, 2024",Empower Field at Mile High,"Little By Little, Tall Boy, Surprise Valley, We Walk Each Other Home, All Time Low, Chilly Water"
"May 25, 2024",Radians Amphitheater at Memphis Botanic Garden,"Rock, Tail Dragger, Little Kin, Big Wooly Mammoth, Bust it Big, Dream Song, Pilgrims, Halloween Face, Disco, King Baby, Chilly Water, We Walk Each Other Home, Diner, Conrad The Caterpillar, Blue Indian, Honey Bee, Piece of My Heart, All Time Low, Waiting for the Bus, You Can’t Always Get What You Want"
"May 24, 2024",Radians Amphitheater at Memphis Botanic Garden,"Let’s Get Down To Business, Henry Parsons Died, Little Lilly, Hatfield, Rebirtha, Little By Little, Smokestack Lightning, Space Wrangler, The Take Out, Surprise Valley, Blue Carousel, Ribs and Whiskey, Proving Ground, Fishwater, Drums, Cease Fire, Jamais Vu (The World Has Changed), Jam, Fishwater, Proving Ground, Surprise Valley, Porch Song, Cosmic Confidante, Life During Wartime"
"April 25, 2024",New Orleans Jazz & Heritage Festival,"Wondering, Greta, Pleas, Little By Little, Saint Ex, Walkin’ (For Your Love), Tall Boy, Christmas Katie, Radio Child, King Baby, Bust it Big, We Walk Each Other Home, You Wreck Me, Pigeons, Arleen, All Time Low, Climb To Safety, Ain’t Life Grand"
"April 17, 2024",Panic en la Playa Doce,"Walkin’ (For Your Love), Fishing, Big Wooly Mammoth, Walk On, Thought Sausage, Airplane, Greta, Blue Indian, Halloween Face, Chilly Water, Jack, Blight, Diner, Saint Ex, We Walk Each Other Home, Postcard, Ride Me High, I’m So Glad, Dear Prudence, Love Tractor"
"April 16, 2024",Panic en la Playa Doce,"Contentment Blues, Pleas, Tall Boy, Tackle Box Hero, Sharon, Bear’s Gone Fishin’, Tie Your Shoes, I’m Not Alone, Wondering, Lawyers Guns And Money, Ain’t Life Grand, Worry, Heaven, Blue Carousel, Rebirtha, Space Wrangler, Bust it Big, Drums, Bust it Big, Pigeons, Mr. Soul, Nobody’s Loss"
"April 15, 2024",Panic en la Playa Doce,"Holden Oversoul, All Time Low, Can’t Get High, Happy, Second Skin, Junior, Let It Rock, Radio Child, Conrad The Caterpillar, Old Neighborhood, Impossible, Trashy, Little By Little, Knockin’ Around The Zoo, Papa’s Home, Low Spark Of High-Heeled Boys, Papa’s Home, Can’t Find My Way Home, No Sugar Tonight / New Mother Nature"
"April 14, 2024",Panic en la Playa Doce,"Travelin’ Light, Action Man, Stop-Go, Goin’ Out West, Travelin’ Man, The Waker, Driving Song, Shut Up and Drive, Rock, Better Off, Who Do You Belong To?, Goodpeople, Dark Bar, Goodpeople, Tortured Artist, Protein Drink, Sewing Machine, Honky Red, King Baby, North, Old Joe, Disco, Bowlegged Woman"
"March 24, 2024",St. Augustine Amphitheatre,"Rebirtha, Little Lilly, Henry Parsons Died, Cotton Was King, B of D, Bear’s Gone Fishin’, C. Brown, Halloween Face, Chilly Water, Greta, Dear Mr. Fantasy, Surprise Valley, Drums, Surprise Valley, Party at Your Mama’s House, Ribs and Whiskey, City Of Dreams, Fishing, Tall Boy, Room at the Top, Porch Song"
"March 23, 2024",St. Augustine Amphitheatre,"Up All Night, Ain’t Life Grand, Big Wooly Mammoth, Hatfield, Sleepy Monkey, Blue Indian, Space Wrangler, Little By Little, Tie Your Shoes, Jamais Vu (The World Has Changed), Diner, Red Hot Mama, Saint Ex, Blue Carousel, Papa’s Home, Pigeons, We Walk Each Other Home, Honey Bee, Climb To Safety"
"March 22, 2024",St. Augustine Amphitheatre,"Bust it Big, King Baby, Jack, Holden Oversoul, Airplane, Aunt Avis, Walkin’ (For Your Love), Chainsaw City, Machine, Barstools and Dreamers, Stranger In A Strange Land, A Hard Rain’s A-Gonna Fall, Stranger In A Strange Land, Driving Song, Blight, Driving Song, Tackle Box Hero, All Time Low, Love Tractor, Pilgrims, Runnin’ Down A Dream"
"January 20, 2024",Stifel Theatre,"Wondering, Holden Oversoul, Makes Sense To Me, Holden Oversoul, Tail Dragger, Honky Red, We Walk Each Other Home, One Arm Steve, Pleas, Halloween Face, Life During Wartime, Party at Your Mama’s House, Rock, Barstools and Dreamers, Machine, Surprise Valley, Flat Foot Flewzy, Surprise Valley, Jamais Vu (The World Has Changed), Disco, Blackout Blues, Porch Song, St. Louis, Expiration Day, Ain’t Life Grand"
"January 19, 2024",Stifel Theatre,"Junior, Old Neighborhood, Airplane, Send Your Mind, Blue Carousel, No Sugar Tonight / New Mother Nature, Little By Little, The Last Straw, Mr. Soul, Thought Sausage, Conrad The Caterpillar, Sharon, Jack, Impossible, Slippin Into Darkness, Goodpeople, Dark Bar, Goodpeople, Action Man, Bird On A Wire, Chilly Water"
"January 18, 2024",Stifel Theatre,"Little Kin, Travelin’ Light, C. Brown, Better Off, King Baby, Sleeping Man, Rebirtha, Bear’s Gone Fishin’, You Got Yours, Greta, Tall Boy, Shut Up and Drive, Trashy, Worry, Diner, Drums, Bowlegged Woman, Papa’s Home, North, Travelin’ Man, The Waker, Knockin’ Around The Zoo"
"December 31, 2023",The Fox Theatre,"Driving Song, Fishing, Driving Song, Ribs and Whiskey, We Walk Each Other Home, Keep Me In Your Heart, I’ll Sleep When I’m Dead, Climb To Safety, Space Wrangler, Walkin’ (For Your Love), Blight, All Time Low, Stop Breakin’ Down Blues, Dirty Business, Hope In A Hopeless World, Cease Fire, I’m Not Alone, Protein Drink, Sewing Machine, Disco, Arleen, Pigeons, My Generation, I Wanna Be Sedated, Blue Indian, Saint Ex, Big Wooly Mammoth, Love Tractor, May Your Glass Be Filled, I’m So Glad"
"December 30, 2023",The Fox Theatre,"Barstools and Dreamers, Pleas, Tickle the Truth, Time Zones, Little Lilly, Smokestack Lightning, Radio Child, Visiting Day, Halloween Face, Holden Oversoul, Hatfield, Henry Parsons Died, King Baby, Bust it Big, Surprise Valley, Drums, Goin’ Out West, Surprise Valley, Pilgrims, Runnin’ Down A Dream, Crazy Train"
"December 29, 2023",The Fox Theatre,"Ain’t Life Grand, Imitation Leather Shoes, Rock, Wondering, Goodpeople, One Arm Steve, Goodpeople, Honky Red, Blackout Blues, Little By Little, Porch Song, Aunt Avis, Second Skin, Tie Your Shoes, Party at Your Mama’s House, Ride Me High, Red Hot Mama, Fishwater, Soul Kitchen, Roadhouse Blues"
"October 28, 2023",Enmarket Arena,"Wish You Were Here, Jack, Better Off, Greta, Somewhere Over The Rainbow, Rebirtha, This Must Be The Place (Naive Melody), Walkin’ (For Your Love), The Golden Road (To Unlimited Devotion), Weak Brain, Narrow Mind, Life as a Tree, Heart of Gold, Tail Dragger, Puppy Sleeps, Snowblind, Walk On, Little By Little, King Baby, Iron Man, This Part of Town, Postcard, The Wizard, Mercy, Mr. Crowley, Action Man, Crazy Train, Climb To Safety"
"October 27, 2023",Enmarket Arena,"Junior, Tall Boy, Up All Night, Down, You Got Yours, Proving Ground, Bowlegged Woman, Proving Ground, We Walk Each Other Home, Space Wrangler, Pigeons, Henry Parsons Died, Airplane, Second Skin, Low Spark Of High-Heeled Boys, Four Cornered Room, Chilly Water, Low Spark Of High-Heeled Boys, Pilgrims, Conrad The Caterpillar, Saint Ex, I’m Not Alone, All Time Low"
"October 22, 2023",The Riverside Theater,"Holden Oversoul, North, Aunt Avis, Blackout Blues, Bear’s Gone Fishin’, C. Brown, Good Morning Little School Girl, Little Kin, Thought Sausage, Radio Child, Porch Song, Arleen, Don’t Be Denied, Machine, Barstools and Dreamers, Surprise Valley, Jamais Vu (The World Has Changed), Surprise Valley, Blue Indian, Fishwater, Visiting Day, Halloween Face, There is a Time"
"October 21, 2023",The Riverside Theater,"Ain’t Life Grand, Makes Sense To Me, Little Lilly, Ribs and Whiskey, Time Zones, Tackle Box Hero, Jack, B of D, Bust it Big, For What It’s Worth, Climb To Safety, Pickin’ Up The Pieces, Honky Red, Blue Carousel, Disco, Driving Song, Blight, Drums, Tie Your Shoes, Life During Wartime, Driving Song, Old Joe, Runnin’ Down A Dream"
"October 20, 2023",The Riverside Theater,"Goodpeople, Pleas, The Last Straw, All Time Low, Wondering, Who Do You Belong To?, Cease Fire, Little By Little, Love Tractor, Tickle the Truth, Big Wooly Mammoth, Party at Your Mama’s House, Stop Breakin’ Down Blues, Trashy, Diner, Rock, Ride Me High, Red Hot Mama, Can’t Get High, We Walk Each Other Home, Chilly Water"
"September 16, 2023",Live Oak Bank Pavilion,"One Arm Steve, Pigeons, Quarter Tank of Gasoline, Rebirtha, Space Wrangler, Thought Sausage, Up All Night, Vacation, Walkin’ (For Your Love), Saint Ex, You Got Yours, I’m So Glad, Tackle Box Hero, Use Me, Fishing, Fishwater, Surprise Valley, Henry Parsons Died, I’m Not Alone, Tall Boy, Blue Carousel, You Wreck Me, End Of The Show"
"September 15, 2023",Live Oak Bank Pavilion,"Stop-Go, Let It Rock, Greta, Shut Up and Drive, Proving Ground, Sewing Machine, Barstools and Dreamers, Blackout Blues, Lawyers Guns And Money, Airplane, Blight, Can’t Get High, Disco, Entering a Black Hole Backwards, Flat Foot Flewzy, Goin’ Out West, Holden Oversoul, I Walk On Guilded Splinters, Jam, King Baby, Last Dance, May Your Glass Be Filled, No Sugar Tonight / New Mother Nature"
"August 27, 2023",Oxbow RiverStage,"Little By Little, Tall Boy, Time Zones, Little Kin, Imitation Leather Shoes, We Walk Each Other Home, This Part of Town, Little By Little, Climb To Safety, Sundown Betty, Slippin Into Darkness, Pleas, Diner, C. Brown, Honky Red, Space Wrangler, Protein Drink, Sewing Machine, Keep Me In Your Heart, Pilgrims, Cream Puff War"
"August 26, 2023",Oxbow RiverStage,"Henry Parsons Died, Hatfield, Ribs and Whiskey, Up All Night, You Can’t Always Get What You Want, Tackle Box Hero, Heaven, The Take Out, Porch Song, Driving Song, Goodpeople, Dark Bar, Goodpeople, Halloween Face, All Time Low, Papa’s Home, Drums, Runnin’ Down A Dream, Driving Song, Chilly Water, Ophelia, Blue Indian"
"August 25, 2023",Oxbow RiverStage,"Jam, Bust it Big, Makes Sense To Me, Holden Oversoul, I’m Not Alone, Ride Me High, King Baby, Love Tractor, Pigeons, Big Wooly Mammoth, Bear’s Gone Fishin’, Bowlegged Woman, Four Cornered Room, You Got Yours, Fishwater, Rock, Fishwater, Trashy, North"
"July 30, 2023",The Orion Amphitheater,"Driving Song, Disco, Driving Song, Goin’ Out West, Christmas Katie, Radio Child, Thought Sausage, Pleas, Jack, Halloween Face, Airplane, Wondering, We Walk Each Other Home, Surprise Valley, Rock, Drums, Surprise Valley, Dear Prudence, Postcard, Blackout Blues, Action Man, End Of The Show, Ain’t Life Grand"
"July 29, 2023",The Orion Amphitheater,"Rebirtha, Ribs and Whiskey, Stop Breakin’ Down Blues, Better Off, Dyin’ Man, Who Do You Belong To?, Sleepy Monkey, King Baby, Bust it Big, Sharon, Walkin’ (For Your Love), Blight, Honky Red, Little By Little, Diner, Vacation, Greta, Henry Parsons Died, Old Joe, Elevator To The Moon, Climb To Safety"
"July 28, 2023",The Orion Amphitheater,"One Arm Steve, Little Kin, Vampire Blues, Trouble, Tall Boy, Hatfield, You Got Yours, Aunt Avis, Space Wrangler, All Time Low, Send Your Mind, Tackle Box Hero, Saint Ex, Trashy, Papa’s Home, Low Spark Of High-Heeled Boys, Tie Your Shoes, Low Spark Of High-Heeled Boys, Papa’s Home, You Wreck Me, Nobody’s Loss, Lawyers Guns And Money"
"June 25, 2023",Red Rocks Amphitheatre,"Up All Night, C. Brown, Disco, Big Wooly Mammoth, Stop-Go, King Baby, Sleeping Man, Down, Protein Drink, Sewing Machine, Holden Oversoul, Little Lilly, Red Hot Mama, Rock, Party at Your Mama’s House, Pilgrims, Fishing, Fishwater, Arleen, Fishwater, Keep Me In Your Heart, Chilly Water, Love Tractor"
"June 24, 2023",Red Rocks Amphitheatre,"Greta, Walk On, Wondering, Can’t Get High, Thought Sausage, Machine, Barstools and Dreamers, Pickin’ Up The Pieces, Imitation Leather Shoes, Pigeons, Stranger In A Strange Land, A Hard Rain’s A-Gonna Fall, Stranger In A Strange Land, Goodpeople, Dark Bar, Goodpeople, Tackle Box Hero, Bear’s Gone Fishin’, Surprise Valley, Blue Indian, Drums, Mr. Soul, Surprise Valley, Porch Song, Little Wing, Ain’t Life Grand"
"June 23, 2023",Red Rocks Amphitheatre,"Bust it Big, Henry Parsons Died, Don’t Wanna Lose You, Ribs and Whiskey, Stop Breakin’ Down Blues, This Part of Town, Shut Up and Drive, Climb To Safety, Rumble, Impossible, Travelin’ Light, Jack, Travelin’ Man, Second Skin, Rebirtha, Blackout Blues, City Of Dreams, Runnin’ Down A Dream"
"May 28, 2023",Brandon Amphitheater,"Chilly Water, Makes Sense To Me, Junior, Better Off, Up All Night, Blight, Trashy, Love Tractor, Sometimes, Cease Fire, All Time Low, Don’t Drink The Water, Vampire Blues, Halloween Face, Driving Song, Papa’s Home, Drums, Papa’s Home, Driving Song, Saint Ex, Expiration Day, Jesus Just Left Chicago, Tall Boy"
"May 27, 2023",Brandon Amphitheater,"Jam, Send Your Mind, Walkin’ (For Your Love), Thin Air (Feels Like Mississippi), Pleas, Sundown Betty, Goin’ Out West, Give, Tail Dragger, Little Kin, Cotton Was King, Papa Johnny Road, Disco, Diner, ×1, Airplane, Hatfield, Flat Foot Flewzy, North, Are You Ready For The Country, I’m So Glad"
"May 6, 2023",Credit One Stadium,"Bust it Big, Wondering, Little Lilly, Rock, Tackle Box Hero, I’m Not Alone, Halloween Face, One Arm Steve, Action Man, Holden Oversoul, Goodpeople, Dark Bar, Goodpeople, Honky Red, Ain’t Life Grand, Party at Your Mama’s House, Ribs and Whiskey, Pilgrims, Greta, Fishwater, Surprise Valley, Life During Wartime"
"May 5, 2023",Credit One Stadium,"Pigeons, Henry Parsons Died, The Last Straw, C. Brown, Shut Up and Drive, Space Wrangler, Big Wooly Mammoth, Love Tractor, Porch Song, Blackout Blues, Sundown Betty, Barstools and Dreamers, Second Skin, Tie Your Shoes, Second Skin, Protein Drink, Sewing Machine, Climb To Safety, For What It’s Worth, Red Hot Mama"
"April 22, 2023",ACL Live @ The Moody Theater,"Blue Indian, Tall Boy, Travelin’ Light, Thought Sausage, Aunt Avis, Rebirtha, Fishwater, Mr. Soul, Fishwater, Chilly Water, Contentment Blues, Surprise Valley, Ride Me High, Surprise Valley, Don’t Be Denied, Down, Impossible, Bowlegged Woman, Chilly Water, Driving Song, Little Wing, Driving Song, Ain’t Life Grand"
