date,location,setlist
N/A,N/A,
N/A,N/A,
2024-06-23T18:00:00-04:00,N/A,
2024-06-23T18:00:00-04:00,Red Rocks Amphitheatre,"I: 1For What It’s Worth, 2Holden Oversoul, 3Action Man, 4Papa’s Home, 5We Walk Each Other Home, 6Junior, 7Vacation, 8Small Town, 9Little By Little, 10Flat Foot Flewzy, 1Don’t Be Denied, 2Space Wrangler, 3Blue Carousel, 4I Walk On Guilded Splinters, 5Machine, 6Barstools and Dreamers, 7Coconut, 8Saint Ex, 9Ride Me High, 10Blue Indian, 11Lawyers Guns And Money, 1Life as a Tree, 2Pigeons, 3Postcard
II: 1Don’t Be Denied, 2Space Wrangler, 3Blue Carousel, 4I Walk On Guilded Splinters, 5Machine, 6Barstools and Dreamers, 7Coconut, 8Saint Ex, 9Ride Me High, 10Blue Indian, 11Lawyers Guns And Money, 1Life as a Tree, 2Pigeons, 3Postcard
E: 1Life as a Tree, 2Pigeons, 3Postcard"
2024-06-23T18:00:00-04:00,Red Rocks Amphitheatre,"I: 1For What It’s Worth, 2Holden Oversoul, 3Action Man, 4Papa’s Home, 5We Walk Each Other Home, 6Junior, 7Vacation, 8Small Town, 9Little By Little, 10Flat Foot Flewzy, 1Don’t Be Denied, 2Space Wrangler, 3Blue Carousel, 4I Walk On Guilded Splinters, 5Machine, 6Barstools and Dreamers, 7Coconut, 8Saint Ex, 9Ride Me High, 10Blue Indian, 11Lawyers Guns And Money, 1Life as a Tree, 2Pigeons, 3Postcard
II: 1Don’t Be Denied, 2Space Wrangler, 3Blue Carousel, 4I Walk On Guilded Splinters, 5Machine, 6Barstools and Dreamers, 7Coconut, 8Saint Ex, 9Ride Me High, 10Blue Indian, 11Lawyers Guns And Money, 1Life as a Tree, 2Pigeons, 3Postcard
E: 1Life as a Tree, 2Pigeons, 3Postcard"
2024-06-23T18:00:00-04:00,Red Rocks Amphitheatre,"I: 1For What It’s Worth, 2Holden Oversoul, 3Action Man, 4Papa’s Home, 5We Walk Each Other Home, 6Junior, 7Vacation, 8Small Town, 9Little By Little, 10Flat Foot Flewzy, 1Don’t Be Denied, 2Space Wrangler, 3Blue Carousel, 4I Walk On Guilded Splinters, 5Machine, 6Barstools and Dreamers, 7Coconut, 8Saint Ex, 9Ride Me High, 10Blue Indian, 11Lawyers Guns And Money, 1Life as a Tree, 2Pigeons, 3Postcard
II: 1Don’t Be Denied, 2Space Wrangler, 3Blue Carousel, 4I Walk On Guilded Splinters, 5Machine, 6Barstools and Dreamers, 7Coconut, 8Saint Ex, 9Ride Me High, 10Blue Indian, 11Lawyers Guns And Money, 1Life as a Tree, 2Pigeons, 3Postcard
E: 1Life as a Tree, 2Pigeons, 3Postcard"
2024-06-22T19:00:00-04:00,Red Rocks Amphitheatre,"I: 1Little Lilly, 2Blackout Blues, 3Better Off, 4B of D, 5Old Neighborhood, 6Makes Sense To Me, 7Tackle Box Hero, 8Ribs and Whiskey, 9The Take Out, 10There is a Time, 11Porch Song, 1Radio Child, 2Trashy, 3Pleas, 4Fishwater, 5Bust it Big, 6Fishwater, 7Mercy, 8Cosmic Confidante, 9Airplane, 10Climb To Safety, 1Honky Red, 2Keep Me In Your Heart, 3No Sugar Tonight / New Mother Nature
II: 1Radio Child, 2Trashy, 3Pleas, 4Fishwater, 5Bust it Big, 6Fishwater, 7Mercy, 8Cosmic Confidante, 9Airplane, 10Climb To Safety, 1Honky Red, 2Keep Me In Your Heart, 3No Sugar Tonight / New Mother Nature
E: 1Honky Red, 2Keep Me In Your Heart, 3No Sugar Tonight / New Mother Nature"
2024-06-22T19:00:00-04:00,Red Rocks Amphitheatre,"I: 1Little Lilly, 2Blackout Blues, 3Better Off, 4B of D, 5Old Neighborhood, 6Makes Sense To Me, 7Tackle Box Hero, 8Ribs and Whiskey, 9The Take Out, 10There is a Time, 11Porch Song, 1Radio Child, 2Trashy, 3Pleas, 4Fishwater, 5Bust it Big, 6Fishwater, 7Mercy, 8Cosmic Confidante, 9Airplane, 10Climb To Safety, 1Honky Red, 2Keep Me In Your Heart, 3No Sugar Tonight / New Mother Nature
II: 1Radio Child, 2Trashy, 3Pleas, 4Fishwater, 5Bust it Big, 6Fishwater, 7Mercy, 8Cosmic Confidante, 9Airplane, 10Climb To Safety, 1Honky Red, 2Keep Me In Your Heart, 3No Sugar Tonight / New Mother Nature
E: 1Honky Red, 2Keep Me In Your Heart, 3No Sugar Tonight / New Mother Nature"
2024-06-22T19:00:00-04:00,Red Rocks Amphitheatre,"I: 1Little Lilly, 2Blackout Blues, 3Better Off, 4B of D, 5Old Neighborhood, 6Makes Sense To Me, 7Tackle Box Hero, 8Ribs and Whiskey, 9The Take Out, 10There is a Time, 11Porch Song, 1Radio Child, 2Trashy, 3Pleas, 4Fishwater, 5Bust it Big, 6Fishwater, 7Mercy, 8Cosmic Confidante, 9Airplane, 10Climb To Safety, 1Honky Red, 2Keep Me In Your Heart, 3No Sugar Tonight / New Mother Nature
II: 1Radio Child, 2Trashy, 3Pleas, 4Fishwater, 5Bust it Big, 6Fishwater, 7Mercy, 8Cosmic Confidante, 9Airplane, 10Climb To Safety, 1Honky Red, 2Keep Me In Your Heart, 3No Sugar Tonight / New Mother Nature
E: 1Honky Red, 2Keep Me In Your Heart, 3No Sugar Tonight / New Mother Nature"
2024-06-21T19:00:00-04:00,Red Rocks Amphitheatre,"I: 1Mr. Soul, 2Ain’t Life Grand, 3Up All Night, 4I’m Not Alone, 5Goodpeople, 6Dark Bar, 7Goodpeople, 8Thought Sausage, 9King Baby, 10Love Tractor, 1Red Hot Mama, 2Bear’s Gone Fishin’, 3Blight, 4Driving Song, 5Greta, 6You Got Yours, 7Tie Your Shoes, 8Drums, 9Party at Your Mama’s House, 10Driving Song, 11Down, 12Halloween Face, 1Rebirtha, 2One Arm Steve, 3Expiration Day
II: 1Red Hot Mama, 2Bear’s Gone Fishin’, 3Blight, 4Driving Song, 5Greta, 6You Got Yours, 7Tie Your Shoes, 8Drums, 9Party at Your Mama’s House, 10Driving Song, 11Down, 12Halloween Face, 1Rebirtha, 2One Arm Steve, 3Expiration Day
E: 1Rebirtha, 2One Arm Steve, 3Expiration Day"
